Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,TaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Previously_Obs,Initial_Three_Min_Cnt,Habitat_Source,Source_Sheet,Month,Month_Name,Season,Start_Hour,Sky_Clean,Distance_Clean,Distance_Rank,Wind_Category,Disturbance_Level,Interval_Mid_Min,At_Risk
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,83803.0,EATO,False,True,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,1.25,True
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,False,Undetermined,White-breasted Nuthatch,Sitta carolinensis,178775.0,90935.0,WBNU,False,False,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,1.25,False
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,False,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195.0,84865.0,RBWO,False,False,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,50 - 100 Meters,2.0,Calm,None,3.75,False
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Orchard Oriole,Icterus spurius,179064.0,93634.0,OROR,False,False,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,3.75,False
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Visualization,<= 50 Meters,False,Undetermined,Northern Mockingbird,Mimus polyglottos,178620.0,88394.0,NOMO,False,False,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,3.75,False
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,6.25,False
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,50 - 100 Meters,2.0,Calm,None,1.25,False
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Horned Lark,Eremophila alpestris,554256.0,264079.0,HOLA,False,False,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,1.25,False
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Mourning Dove,Zenaida macroura,177125.0,82737.0,MODO,False,False,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,True,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,1.25,False
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,19.9,79.4,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,,False,Forest,ANTI,5,May,Spring,6,Overcast,<= 50 Meters,1.0,Calm,None,6.25,True
